"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Feed","2026-03-01 17:19",,,"Formula","Bottle","3oz",
"Feed","2026-03-01 15:18",,,"Formula","Bottle","1oz",
"Feed","2026-03-01 14:40",,,"Formula","Bottle","1oz",
"Diaper","2026-03-01 14:19",,,,,"Poo:large",
"Diaper","2026-03-01 14:00",,,,,"Pee:large",
"Feed","2026-03-01 13:58",,,"Formula","Bottle","2oz",
"Diaper","2026-03-01 11:40",,,,,"Pee:large",
"Feed","2026-03-01 11:13",,,"Formula","Bottle","3oz",
"Diaper","2026-03-01 09:07",,,,,"Pee:medium",
"Feed","2026-03-01 09:07",,,"Formula","Bottle","2oz",
"Diaper","2026-03-01 07:48",,,,,"Pee:medium",
"Feed","2026-03-01 07:10",,,"Formula","Bottle","4oz",
"Diaper","2026-03-01 04:48",,"brown",,,"Poo:large",
"Feed","2026-03-01 04:11",,,"Formula","Bottle","2.5oz",
"Diaper","2026-03-01 04:05",,,,,"Both, pee:large poo:large",
"Feed","2026-03-01 00:40",,,"Formula","Bottle","2oz",
"Diaper","2026-03-01 00:30",,,,,"Pee:medium",
"Feed","2026-02-28 21:40",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-28 21:30",,,,,"Pee:large",
"Feed","2026-02-28 20:05",,,"Formula","Bottle","3oz",
"Diaper","2026-02-28 20:00",,"brown",,,"Both, pee:medium poo:medium",
"Feed","2026-02-28 18:00",,,"Formula","Bottle","2oz",
"Diaper","2026-02-28 17:54",,,,,"Both, pee:large poo:large",
"Feed","2026-02-28 16:29",,,"Formula","Bottle","0.5oz",
"Diaper","2026-02-28 15:46",,,,,"Poo:medium",
"Feed","2026-02-28 15:27",,,"Formula","Bottle","2.5oz",
"Feed","2026-02-28 13:15",,,"Formula","Bottle","3.5oz",
"Diaper","2026-02-28 13:03",,,,,"Both, pee:large poo:medium",
"Feed","2026-02-28 11:00",,,"Formula","Bottle","2oz",
"Feed","2026-02-28 10:19",,,"Formula","Bottle","2oz",
"Diaper","2026-02-28 10:05",,,,,"Both, pee:medium poo:large",
"Feed","2026-02-28 07:52",,,"Formula","Bottle","2oz",
"Diaper","2026-02-28 07:45",,,,,"Pee:large",
"Feed","2026-02-28 05:45",,,"Formula","Bottle","1oz",
"Diaper","2026-02-28 05:00",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-28 04:50",,,"Formula","Bottle","2oz",
"Feed","2026-02-28 01:40",,,"Formula","Bottle","3oz",
"Diaper","2026-02-28 01:30",,,,,"Pee:medium",
"Diaper","2026-02-27 23:20",,,,,"Pee:medium",
"Feed","2026-02-27 22:30",,,"Formula","Bottle","2oz",
"Diaper","2026-02-27 20:25",,,,,"Pee:medium",
"Feed","2026-02-27 19:30",,,"Formula","Bottle","1oz",
"Diaper","2026-02-27 19:02",,"brown",,,"Both, pee:large poo:medium",
"Feed","2026-02-27 16:50",,,"Formula","Bottle","1oz",
"Feed","2026-02-27 16:15",,,"Formula","Bottle","1oz",
"Diaper","2026-02-27 15:45",,,,,"Both, pee:large poo:medium",
"Feed","2026-02-27 15:10",,,"Formula","Bottle","2oz",
"Diaper","2026-02-27 13:00",,,,,"Both, pee:medium poo:small",
"Feed","2026-02-27 12:30",,,"Formula","Bottle","2.5oz",
"Feed","2026-02-27 10:30",,,"Formula","Bottle","2oz",
"Diaper","2026-02-27 10:20",,,,,"Both, pee:small poo:medium",
"Diaper","2026-02-27 07:40",,,,,"Both, pee:medium poo:large",
"Feed","2026-02-27 07:37",,,"Formula","Bottle","3oz",
"Feed","2026-02-27 06:10",,,"Formula","Bottle","2oz",
"Diaper","2026-02-27 06:00",,,,,"Pee:large",
"Feed","2026-02-27 03:20",,,"Formula","Bottle","2.75oz",
"Diaper","2026-02-27 03:18",,,,,"Pee:medium",
"Feed","2026-02-26 23:15",,,"Formula","Bottle","3oz",
"Diaper","2026-02-26 23:00",,,,,"Pee:large",
"Feed","2026-02-26 20:45",,,"Formula","Bottle","2oz",
"Diaper","2026-02-26 19:45",,"brown",,,"Both, pee:medium",
"Feed","2026-02-26 19:20",,,"Formula","Bottle","1oz",
"Feed","2026-02-26 18:34",,,"Formula","Bottle","2oz",
"Diaper","2026-02-26 18:30",,"brown","Loose",,"Both, pee:medium poo:medium",
"Feed","2026-02-26 16:26",,,"Formula","Bottle","2oz",
"Diaper","2026-02-26 16:25",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-26 14:10",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-26 14:00",,"brown",,,"Both, pee:small poo:medium",
"Feed","2026-02-26 12:01",,,"Formula","Bottle","2oz",
"Diaper","2026-02-26 11:48",,,,,"Pee:large",
"Diaper","2026-02-26 09:30",,,,,"Pee:large",
"Feed","2026-02-26 08:45",,,"Formula","Bottle","3oz",
"Diaper","2026-02-26 06:42",,"brown",,,"Poo:large",
"Feed","2026-02-26 06:00",,,"Formula","Bottle","2oz",
"Diaper","2026-02-26 05:55",,,,,"Pee:large",
"Feed","2026-02-26 02:10",,,"Formula","Bottle","4oz",
"Diaper","2026-02-26 01:45",,,,,"Pee:large",
"Diaper","2026-02-25 22:35",,"brown",,,"Both, pee:small poo:small",
"Feed","2026-02-25 22:00",,,"Formula","Bottle","3oz",
"Diaper","2026-02-25 21:45",,,,,"Pee:large",
"Diaper","2026-02-25 19:03",,"brown",,,"Both, pee:large poo:large",
"Feed","2026-02-25 18:45",,,"Formula","Bottle","2oz",
"Feed","2026-02-25 17:25",,,"Formula","Bottle","1oz",
"Diaper","2026-02-25 17:14",,,,,"Both, pee:medium poo:large",
"Feed","2026-02-25 16:00",,,"Formula","Bottle","2oz",
"Feed","2026-02-25 13:50",,,"Formula","Bottle","1oz",
"Diaper","2026-02-25 13:45",,"brown",,,"Both, pee:medium poo:medium",
"Feed","2026-02-25 13:25",,,"Formula","Bottle","2oz",
"Feed","2026-02-25 11:00",,,"Formula","Bottle","1oz",
"Diaper","2026-02-25 10:30",,"brown",,,"Both, pee:large poo:small",
"Feed","2026-02-25 09:12",,,"Formula","Bottle","1oz",
"Feed","2026-02-25 08:13",,,"Formula","Bottle","2oz",
"Diaper","2026-02-25 07:50",,,,,"Pee",
"Diaper","2026-02-25 05:25",,"brown",,,"Poo:large",
"Feed","2026-02-25 05:00",,,"Formula","Bottle","3oz",
"Diaper","2026-02-25 04:45",,"brown",,,"Both, pee:medium poo:medium",
"Feed","2026-02-25 01:25",,,"Formula","Bottle","2oz",
"Diaper","2026-02-25 01:15",,,,,"Pee:large",
"Diaper","2026-02-24 22:20",,"brown",,,"Poo:medium",
"Feed","2026-02-24 21:40",,,"Formula","Bottle","3oz",
"Diaper","2026-02-24 21:30",,,,,"Pee:medium",
"Diaper","2026-02-24 18:49",,"brown","Loose",,"Both, pee:small poo:large","Big ole doodie. "
"Feed","2026-02-24 18:06",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-24 18:00",,"yellow",,,"Poo:medium",
"Diaper","2026-02-24 17:59",,,,,"Pee:large",
"Feed","2026-02-24 15:50",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-24 13:47",,,,,"Pee:medium",
"Feed","2026-02-24 13:40",,,"Formula","Bottle","3oz",
"Diaper","2026-02-24 11:49",,,,,"Pee:large",
"Feed","2026-02-24 11:06",,,"Formula","Bottle","1oz",
"Feed","2026-02-24 10:37",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-24 10:27",,,,,"Pee:large",
"Feed","2026-02-24 09:00",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-24 08:35",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-02-24 05:35",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-24 05:32",,,,,"Pee:small",
"Diaper","2026-02-24 05:30",,"yellow",,,"Both, pee:medium poo:medium",
"Feed","2026-02-24 02:10",,,"Formula","Bottle","3oz",
"Diaper","2026-02-24 02:06",,,,,"Pee:medium",
"Feed","2026-02-23 22:35",,,"Formula","Bottle","3oz",
"Diaper","2026-02-23 22:30",,,,,"Pee:medium",
"Diaper","2026-02-23 20:00",,,,,"Pee:large",
"Feed","2026-02-23 19:00",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-23 17:38",,,,,"Pee:small",
"Diaper","2026-02-23 17:38",,"yellow",,,"Both, pee:medium poo:medium",
"Feed","2026-02-23 16:50",,,"Formula","Bottle","2.75oz",
"Diaper","2026-02-23 14:28",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-02-23 13:45",,,"Formula","Bottle","2oz",
"Diaper","2026-02-23 11:00",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-23 10:45",,,"Formula","Bottle","3oz",
"Diaper","2026-02-23 08:30",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-02-23 08:10",,,"Formula","Bottle","3oz",
"Feed","2026-02-23 06:06",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-23 06:00",,,,,"Pee:small",
"Diaper","2026-02-23 06:00",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-23 03:15",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-23 03:10",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-22 23:33",,,"Formula","Bottle","3.5oz",
"Diaper","2026-02-22 23:15",,,,,"Pee:large",
"Feed","2026-02-22 20:35",,,"Formula","Bottle","3oz",
"Diaper","2026-02-22 19:45",,,,,"Pee:medium",
"Feed","2026-02-22 18:00",,,"Formula","Bottle","2.25oz",
"Diaper","2026-02-22 17:45",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-02-22 15:40",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-22 15:15",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-22 14:45",,,"Formula","Bottle","1.5oz",
"Feed","2026-02-22 11:45",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-22 11:35",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-22 09:40",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-22 09:30",,,,,"Both, pee:large poo:large",
"Feed","2026-02-22 07:10",,,"Formula","Bottle","2oz",
"Diaper","2026-02-22 07:00",,,,,"Pee:large",
"Feed","2026-02-22 04:20",,,"Formula","Bottle","2.75oz",
"Diaper","2026-02-22 04:15",,,,,"Pee:small",
"Diaper","2026-02-22 02:21",,"yellow",,,"Poo:large",
"Feed","2026-02-22 01:40",,,"Formula","Bottle","3oz",
"Diaper","2026-02-22 01:30",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-21 23:15",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-21 23:00",,"brown",,,"Both, pee:medium poo:medium",
"Feed","2026-02-21 20:45",,,"Formula","Bottle","1oz",
"Feed","2026-02-21 20:10",,,"Formula","Bottle","1oz",
"Diaper","2026-02-21 19:45",,,,,"Pee:medium",
"Feed","2026-02-21 17:45",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-21 17:35",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-21 16:00",,,"Formula","Bottle","2oz",
"Diaper","2026-02-21 15:57",,,,,"Pee:medium",
"Diaper","2026-02-21 15:57",,,,,"Pee:small",
"Feed","2026-02-21 13:26",,,"Formula","Bottle","3oz",
"Diaper","2026-02-21 13:15",,"brown",,,"Poo:large",
"Diaper","2026-02-21 11:25",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-02-21 10:21",,,"Formula","Bottle","3.5oz",
"Diaper","2026-02-21 10:05",,,,,"Pee:large",
"Diaper","2026-02-21 08:56",,,,,"Both, pee:medium poo:large",
"Feed","2026-02-21 08:00",,,"Formula","Bottle","2.5oz",
"Feed","2026-02-21 06:25",,,"Formula","Bottle","0.5oz",
"Feed","2026-02-21 05:15",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-21 05:10",,,,,"Both, pee:large poo:large",
"Feed","2026-02-21 02:10",,,"Formula","Bottle","3oz",
"Feed","2026-02-20 23:10",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-20 22:45",,,,,"Pee:large",
"Feed","2026-02-20 21:30",,,"Formula","Bottle","0.5oz",
"Feed","2026-02-20 20:15",,,"Formula","Bottle","1oz",
"Diaper","2026-02-20 19:45",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-20 19:10",,,"Formula","Bottle","2oz",
"Feed","2026-02-20 17:00",,,"Formula","Bottle","2oz",
"Diaper","2026-02-20 16:50",,"brown",,,"Poo:medium",
"Tummy time","2026-02-20 14:50","2026-02-20 14:51","00:01",,,,
"Feed","2026-02-20 14:15",,,"Formula","Bottle","1.8oz",
"Diaper","2026-02-20 14:05",,,,,"Pee:medium",
"Feed","2026-02-20 12:30",,,"Formula","Bottle","0.5oz",
"Diaper","2026-02-20 11:24",,,,,"Pee:large",
"Feed","2026-02-20 10:20",,,"Formula","Bottle","2.25oz",
"Feed","2026-02-20 08:15",,,"Formula","Bottle","2.5oz",
"Diaper","2026-02-20 08:10",,"yellow",,,"Poo:large",
"Feed","2026-02-20 05:40",,,"Formula","Bottle","1.8oz",
"Diaper","2026-02-20 05:20",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-20 03:20",,,"Formula","Bottle","3oz",
"Diaper","2026-02-20 03:10",,"yellow",,,"Both, pee:large poo:large",
"Feed","2026-02-20 00:20",,,"Formula","Bottle","3oz",
"Diaper","2026-02-20 00:10",,"brown",,,"Both, pee:large poo:medium",
"Feed","2026-02-19 21:15",,,"Formula","Bottle","3oz",
"Diaper","2026-02-19 21:00",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-19 18:45",,,"Formula","Bottle","1.9oz",
"Feed","2026-02-19 16:45",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-19 16:27",,,,,"Pee:medium",
"Diaper","2026-02-19 16:27",,"yellow",,,"Poo:medium",
"Feed","2026-02-19 14:41",,,"Formula","Bottle","0.65oz",
"Feed","2026-02-19 14:05",,,"Formula","Bottle","2oz",
"Diaper","2026-02-19 14:03",,,,,"Pee:large",
"Diaper","2026-02-19 14:00",,,,,"Pee:small",
"Feed","2026-02-19 12:00",,,"Formula","Bottle","0.4oz",
"Feed","2026-02-19 11:15",,,"Formula","Bottle","3oz",
"Diaper","2026-02-19 11:00",,,,,"Pee:large",
"Diaper","2026-02-19 08:56",,"yellow",,,"Poo:large",
"Feed","2026-02-19 08:10",,,"Formula","Bottle","2oz",
"Diaper","2026-02-19 08:00",,,,,"Pee:large",
"Feed","2026-02-19 05:30",,,"Formula","Bottle","1.75oz",
"Diaper","2026-02-19 05:10",,"yellow",,,"Both, pee:small poo:large",
"Feed","2026-02-19 02:57",,,"Formula","Bottle","3.5oz",
"Diaper","2026-02-19 02:54",,,,,"Both, pee:large poo:small",
"Feed","2026-02-19 02:30",,,"Formula","Bottle","3oz",
"Feed","2026-02-18 23:45",,,"Formula","Bottle","3oz",
"Diaper","2026-02-18 23:00",,"brown",,,"Both, pee:large poo:medium",
"Feed","2026-02-18 20:30",,,"Formula","Bottle","2oz",
"Diaper","2026-02-18 19:54",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-18 18:34",,,"Formula","Bottle","1oz",
"Diaper","2026-02-18 17:55",,,,,"Pee:large",
"Feed","2026-02-18 15:26",,,"Formula","Bottle","3.4oz",
"Diaper","2026-02-18 15:08",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-18 13:50",,,"Formula","Bottle","0.5oz",
"Diaper","2026-02-18 13:06",,,,,"Pee:medium",
"Feed","2026-02-18 12:15",,,"Formula","Bottle","3oz",
"Diaper","2026-02-18 11:50",,,,,"Pee:medium",
"Diaper","2026-02-18 11:45",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-18 09:26",,,"Formula","Bottle","2oz",
"Diaper","2026-02-18 09:00",,"yellow",,,"Poo:large",
"Diaper","2026-02-18 07:23",,,,,"Pee:small",
"Feed","2026-02-18 07:23",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-18 04:43",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-18 04:42",,,"Formula","Bottle","3oz",
"Diaper","2026-02-18 01:31",,"brown",,,"Both, pee:medium poo:large",
"Feed","2026-02-18 01:00",,,"Formula","Bottle","2oz",
"Feed","2026-02-17 23:51",,,"Formula","Bottle","1.25oz",
"Diaper","2026-02-17 23:30",,"brown",,,"Both, pee:medium poo:small",
"Sleep","2026-02-17 23:15","2026-02-17 23:30","00:15",,,,
"Feed","2026-02-17 22:56",,,"Formula","Bottle","10ml",
"Feed","2026-02-17 22:02",,,"Formula","Bottle","0.5oz",
"Feed","2026-02-17 21:31",,,"Formula","Bottle","2oz",
"Diaper","2026-02-17 21:15",,"brown",,,"Both, pee:small",
"Feed","2026-02-17 19:30",,,"Formula","Bottle","1oz",
"Diaper","2026-02-17 19:09",,"yellow",,,"Both, pee:large poo:small",
"Feed","2026-02-17 17:27",,,"Formula","Bottle","2.8oz",
"Diaper","2026-02-17 16:08",,,,,"Pee:small",
"Diaper","2026-02-17 16:08",,"yellow",,,"Poo:large",
"Feed","2026-02-17 13:48",,,"Formula","Bottle","2oz",
"Diaper","2026-02-17 13:11",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-17 11:15",,,"Formula","Bottle","2oz",
"Growth","2026-02-17 10:30",,,"5.94lbs.oz","1.58ft.in","13.2in",
"Diaper","2026-02-17 10:30",,"yellow",,,"Both, pee:small poo:medium",
"Diaper","2026-02-17 08:38",,,,,"Pee:medium",
"Diaper","2026-02-17 08:37",,"yellow",,,"Poo:medium",
"Feed","2026-02-17 08:30",,,"Formula","Bottle","1.5oz",
"Feed","2026-02-17 06:25",,,"Formula","Bottle","1.9oz",
"Diaper","2026-02-17 06:20",,,,,"Poo",
"Diaper","2026-02-17 03:59",,,,,"Both, pee:medium poo:medium",
"Feed","2026-02-17 03:50",,,"Formula","Bottle","2.3oz",
"Feed","2026-02-17 00:20",,,"Formula","Bottle","2oz",
"Diaper","2026-02-16 23:51",,"brown",,,"Poo:small",
"Feed","2026-02-16 22:28",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-16 22:16",,"brown","Loose",,"Both, pee:medium poo:medium",
"Feed","2026-02-16 19:54",,,"Formula","Bottle","2oz",
"Tummy time","2026-02-16 18:53","2026-02-16 18:55","00:02",,,,
"Feed","2026-02-16 18:53",,,"Formula","Bottle","0.5oz",
"Feed","2026-02-16 17:51",,,"Formula","Bottle","1.5oz",
"Diaper","2026-02-16 16:41",,,,,"Both, pee:large poo:small",
"Feed","2026-02-16 16:41",,,"Formula","Bottle","1.2oz",
"Feed","2026-02-16 14:45",,,"Formula","Bottle","1.75oz",
"Feed","2026-02-16 13:24",,,"Formula","Bottle","1oz",
"Diaper","2026-02-16 12:50",,,,,"Poo:small",
"Feed","2026-02-16 10:48",,,"Formula","Bottle","1oz",
"Diaper","2026-02-16 10:47",,,,,"Both, pee:large poo:small",
"Feed","2026-02-16 09:32",,,"Formula","Bottle","1.25oz",
"Diaper","2026-02-16 07:41",,"yellow",,,"Both, pee:small poo:large",
"Feed","2026-02-16 07:41",,,"Formula","Bottle","1.9oz",
"Feed","2026-02-16 05:23",,,"Formula","Bottle","1.5oz",
"Feed","2026-02-16 02:35",,,"Formula","Bottle","2oz",
"Diaper","2026-02-16 02:34",,,,,"Pee:small",
"Diaper","2026-02-16 02:34",,"yellow",,,"Poo:small",
"Feed","2026-02-16 01:36",,,"Formula","Bottle","1.25oz",
"Diaper","2026-02-16 01:15",,"brown","Solid",,"Both, pee:medium poo:small",
"Feed","2026-02-15 22:43",,,"Formula","Bottle","2oz",
"Feed","2026-02-15 21:35",,,"Formula","Bottle","1oz",
"Diaper","2026-02-15 21:15",,,,,"Pee",
"Feed","2026-02-15 20:02",,,"Formula","Bottle","1oz",
"Diaper","2026-02-15 19:30",,"yellow",,,"Poo:small",
"Feed","2026-02-15 18:42",,,"Formula","Bottle","0.5oz",
"Diaper","2026-02-15 18:18",,,,,"Poo",
"Diaper","2026-02-15 18:18",,,,,"Pee",
"Feed","2026-02-15 18:00",,,"Formula","Bottle","2oz",
"Diaper","2026-02-15 14:36",,,,,"Pee",
"Feed","2026-02-15 14:27",,,"Formula","Bottle","2oz",
"Diaper","2026-02-15 12:24",,"yellow",,,"Poo",
"Feed","2026-02-15 12:16",,,"Formula","Bottle","1.5oz",
"Feed","2026-02-15 10:05",,,"Formula","Bottle","1.25oz",
"Feed","2026-02-15 07:59",,,"Formula","Bottle","0.8oz",
"Diaper","2026-02-15 07:21",,,,,"Pee:small",
"Diaper","2026-02-15 07:21",,"yellow",,,"Poo",
"Diaper","2026-02-15 04:35",,"yellow",,,"Poo",
"Feed","2026-02-15 04:00",,,"Formula","Bottle","1.75oz",
"Feed","2026-02-15 01:32",,,"Formula","Bottle","55ml",
"Sleep","2026-02-15 00:20","2026-02-15 00:44","00:24",,,,
"Feed","2026-02-15 00:15",,,"Breast Milk","Bottle","2ml","Colostrum via syringe"
"Sleep","2026-02-14 23:27","2026-02-15 00:14","00:47",,,,
"Feed","2026-02-14 23:24",,,"Formula","Bottle","10ml",
"Diaper","2026-02-14 23:07",,"brown","Loose",,"Poo:medium",
"Feed","2026-02-14 22:51",,,"Formula","Bottle","10ml",
"Diaper","2026-02-14 21:46",,"brown",,,"Poo",
"Sleep","2026-02-14 20:20","2026-02-14 22:51","02:31",,,,
"Feed","2026-02-14 20:14",,,"Formula","Bottle","50ml",
"Diaper","2026-02-14 19:08",,,,,"Pee",
"Feed","2026-02-14 18:05","2026-02-14 18:10","00:05","00:05R","Breast",,
"Pump","2026-02-14 17:45",,,"2ml",,"2ml",
"Feed","2026-02-14 17:10","2026-02-14 17:17","00:07","00:03R","Breast","00:03L",
"Diaper","2026-02-14 17:08",,"brown",,,"Poo",
"Diaper","2026-02-14 17:08",,,,,"Pee:medium",
"Feed","2026-02-14 14:14",,,"Formula","Bottle","25ml",
"Feed","2026-02-14 12:30",,,"Formula","Bottle","10ml",
"Diaper","2026-02-14 11:28",,"brown",,,"Poo",
"Feed","2026-02-14 11:15",,,"Formula","Bottle","10ml",
"Feed","2026-02-14 09:50","2026-02-14 10:24","00:34","00:17R","Breast","00:17L",
"Pump","2026-02-14 08:36","2026-02-14 08:51","00:15","2ml",,"2ml",
"Feed","2026-02-14 08:26","2026-02-14 08:36","00:09",,"Breast","00:09L",
"Growth","2026-02-14 08:11",,,"5.69lbs.oz","1.56ft.in",,
"Diaper","2026-02-14 07:44",,"brown",,,"Poo:medium",
"Feed","2026-02-14 06:00",,,"Formula","Bottle","17ml",
"Diaper","2026-02-14 05:36",,"black",,,"Poo:medium",
"Pump","2026-02-14 05:15",,,"2ml",,"2ml",
"Feed","2026-02-14 04:45","2026-02-14 05:00","00:15","00:15R","Breast",,
"Feed","2026-02-13 18:30",,,,"Breast",,
"Growth","2026-02-12 14:45",,,"5.94lbs.oz","1.56ft.in",,
